"issue","source","line","column","delimiter","text"
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-catalog-api.md","1601","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-catalog-api.md","2282","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-portal-api.md","106","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-portal-api.md","127","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-portal-api.md","160","114","``","-   To provide inline HTML, use string literals or template literals for multiple lines of code: `'HTML' or `HTML``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-portal-api.md","181","111","``","-   To provide inline CSS, use string literals or template literals for multiple lines of code: `'CSS' or `CSS``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-portal-api.md","288","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-portal-api.md","540","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-ui-action-api.md","258","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-ui-action-api.md","273","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-ui-action-api.md","948","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-ui-page-api.md","116","114","``","-   To provide inline HTML, use string literals or template literals for multiple lines of code: `'HTML' or `HTML``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-ui-page-api.md","152","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-ui-page-api.md","168","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/scripted-rest-api-api-now-ts.md","326","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/employee-service-management/employee-experience-foundation/check-company-news-using-nowassist-va.md","42","169","``","-   To check the latest news or know about any particular news, enter your query like `What's the latest news`, `show me the company news`, `show me news on 401k`, `` or anything."
"unclosed double-backtick inline code span","markdown/impact/exception-reason-properties.md","52","9","``","-   ``Determines how approved exception reasons are handled when the finding's line number changes in the code."
"unclosed double-backtick inline code span","markdown/integrate-applications/integration-hub/credly-connections.md","34","63","``","|Connection URL|Base URL to connect to **Credly**. Enter: ``|"
"unclosed double-backtick inline code span","markdown/integrate-applications/integration-hub/setup-cisco-teams.md","310","57","``","|Connection URL|Base URL to connect to ****. Enter: ``|"
"unclosed double-backtick inline code span","markdown/it-operations-management/agent-client-collector/nginx-checks-policies.md","61","1","``","``"
"unclosed double-backtick inline code span","markdown/it-operations-management/agent-client-collector/nginx-checks-policies.md","139","1","``","``"
"unmatched inline backtick","markdown/it-operations-management/discovery/discovery-ssh-probe-commands.md","81","14","`","`echo `lsattr`"
"unclosed double-backtick inline code span","markdown/it-operations-management/event-management/event-collection-via-MID-using-push.md","46","392","``","Use the required MID Server script include to transform \(parse\) collected event messages and populate them into the mapped event field. The MID Server script include name is composed of a prefix and suffix. The prefix is the mandatory text `TransformEvents_` and the suffix is the transform name on the URL, for example, `http://{MID_Server_IP}:{MID_Web_Server_Port}/api/mid/em/xmlSample` ``. The composed script name is therefore `TransformEvents_xmlSample`."
"unclosed double-backtick inline code span","markdown/it-service-management/digital-end-user-experience-dex/da-theme-variables.md","401","1","``","``"
"unclosed double-backtick inline code span","markdown/it-service-management/request-pred-intelli-inc-mgmt.md","54","8","``","Enter: ``"
"unclosed double-backtick inline code span","markdown/it-service-management/request-pred-intelli-mim.md","61","8","``","Enter: ``"
"unclosed double-backtick inline code span","markdown/mobile/sg-configure-multiscan-3.md","28","117","``","These parameters are contained within the **input** object. You can access the parameters by using this format: ``input.grouped_input_name`[`input index`][""`UI Parameter Name`""]`. For example, if you have a grouped input called `add_asset` that has a UI parameter named `Serial number`, you would use `input.add_asset[0][""Serial number""]` to access the first serial number asset."
"unclosed double-backtick inline code span","markdown/order-management/connect-sn-instance-logik.md","36","26","``","3.  In the filter, enter ``."
"unmatched inline backtick","markdown/order-management/cpq-matrix-loader-csv-fields-and-field-options-upload-and-export.md","62","163","`","Valid strings can be composed of up to 255 characters, including letters, numbers, spaces, and the following special characters: `{}[]()|\~`_^@?<=>;:/.-,+*ʼ&%$#”!`"
"unmatched inline backtick","markdown/order-management/cpq-matrix-loader-csv-fields-and-field-options-upload-and-export.md","299","163","`","Valid strings can be composed of up to 255 characters, including letters, numbers, spaces, and the following special characters: `{}[]()|\~`_^@?<=>;:/.-,+*ʼ&%$#”!`"
"unmatched inline backtick","markdown/order-management/cpq-matrix-loader-csv-fields-and-field-options-upload-and-export.md","349","163","`","Valid strings can be composed of up to 255 characters, including letters, numbers, spaces, and the following special characters: `{}[]()|\~`_^@?<=>;:/.-,+*ʼ&%$#”!`"
"unmatched inline backtick","markdown/order-management/create-a-field-using-the-administration-ui.md","38","181","`","-   \(A\) Valid field names can be composed of up to 255 characters, including letters, numbers, spaces, and the following special characters: `{}[]()|\~`_^@?<=>;:/.-,+*ʼ&%$#”!`"
"unmatched inline backtick","markdown/order-management/matrix_loader_csv_rules_upload.md","25","218","`","|rule\_name|Name displayed on the rule list Admin page|Valid strings can be composed of up to 255 characters, including letters, numbers, spaces, and the following special characters: `{}[]()|\~`_^@?<=>;:/.-,+*’&%$#”!`|Required|"
"unmatched inline backtick","markdown/order-management/matrix_loader_csv_rules_upload.md","27","233","`","|rule\_description|Contextual description for administrator reference|Valid strings can be composed of up to 255 characters, including letters, numbers, spaces, and the following special characters: `{}[]()|\~`_^@?<=>;:/.-,+*’&%$#”!`|Optional|"
"unmatched inline backtick","markdown/order-management/matrix_loader_csv_rules_upload.md","80","143","`","-   Valid strings may include letters, numbers, spaces, and special characters: `{ } [ ] ( ) | \ ~ ` _ ^ @ ? < = > ; : / . - , + * ’ & % $ # ""`"
"unmatched inline backtick","markdown/order-management/rules_101.md","104","128","`","-   A valid string composed of letters, numbers, spaces, and the following special characters:`{}[]()|\~`_^@?<=>;:/.-,+*ʼ&%$#”!`"
"unclosed double-backtick inline code span","markdown/platform-security/instance-security-hardening-settings/sc-reset-password-max-sms-per-day.md","20","70","``","Set the property **password\_reset.sms.max\_per\_day** to a value of `` or less."
"unmatched inline backtick","markdown/servicenow-platform/remote-tables/remote-table-script-def-example2.md","152","105","`","When you query a specific record using `GlideRecord.get(“<sys_id>“)`, then `v_query.isGet()`` is ``true``. It fetches the specific record from the external service."
